index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Souldrain	312	100	1			0	1	82	59	umg	vambraces		5	5000	dred	dred						sock		1	1	tinkerflag2		25	35	ac%		90	120	manasteal		4	7	lifesteal		4	7	hit-skill	Weaken	8	3	dmg-ac		-50	-50																						0
Runemaster	313	100	1			0	1	80	72	72a	ettin axe		5	5000	lblu	lblu						sock		4	5	tinkerflag2		25	35	dmg%		220	270	res-cold-max		5	5	nofreeze		1	1																														0
Deathcleaver	314	100	1			0	1	78	56	7wa	berserker axe		5	5000	dred							sock		2	2	tinkerflag2		25	35	dmg%		230	280	deadly		66	66	reduce-ac		33	33	swing2		40	40	heal-kill		6	9																						0
Executioner's Justice	315	100	1			0	1	83	60	7gi	glorious axe		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	dmg%		240	290	crush		25	25	reduce-ac		33	33	kill-skill	Decrepify	50	6	swing2		30	30																						0
Stoneraven	316	100	1			0	1	72	51	q81	matriarchal spear		5	5000	dgry							sock		2	2	tinkerflag2		25	35	dmg%		230	280	dmg-mag		101	187	res-all		30	50	ac		400	600	skilltab	2	1	3																						0
Leviathan	317	100	1			0	1	73	52	uld	kraken shell		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	ac%		170	200	ac		100	150	red-dmg%		15	25	str		40	50	indestruct		1	1																						0
Larzuk's Champion	318	100											5	5000	lgry																																																								0
Wisp	319	100	1			0	1	84	76	rn9	ring		5	5000	bwht	bwht						sock		1	1	allskills		1	1	abs-ltng%		10	20	hit-skill	Lightning	10	16	mag%		10	20	charged	Oak Sage	15	2	charged	Heart of Wolverine	13	5	charged	Spirit of Barbs	11	7																		0
Gargoyle's Bite	320	100	1			0	1	78	56	7ts	winged harpoon		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	dmg%		180	230	rep-quant	33			dmg-pois	250	300	300	lifesteal		9	15	charged	Plague Javelin	60	11																						0
Lacerator	321	100	1			0	1	76	54	7b8	winged axe		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	dmg%		150	210	rep-quant	33			swing2		30	30	noheal		1	1	openwounds		33	33	howl		64	64	hit-skill	Amplify Damage	33	3														0
Mang Song's Lesson	322	100	1			0	1	86	65	6ws	archon staff		5	5000	dgld	dgld						sock		2	2	tinkerflag2		25	35	allskills		5	5	pierce-fire		7	15	pierce-ltng		7	15	pierce-cold		7	15	regen-mana		10	10	cast2		30	30																		0
Viperfork	323	100	1			0	1	79	56	7br	war fork		5	5000	dgrn	dgrn						sock		2	2	tinkerflag2		25	35	dmg%		190	240	dmg-pois	250	333	333	swing2		50	50	att		200	250	hit-skill	Poison Explosion	15	9	res-pois		30	50																		0
Ethereal Edge	324	100	1			0	1	82	59	7ba	silver-edged axe		5	5000	whit	whit						sock		2	2	tinkerflag2		25	35	dmg%		150	180	swing2		25	25	abs-fire		10	12	dmg-demon		150	200	heal-kill		5	10	att		270	350	ethereal		1	1	indestruct		1	1										0
Demonhorn's Edge	325	100	1			0	1	69	48	qbd	destroyer helm		5	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	ac%		120	160	swing2		10	10	lifesteal		3	6	thorns		55	77	skilltab	12	1	3	skilltab	13	1	3	skilltab	14	1	3														0
The Reaper's Toll	326	100	1			0	1	83	67	7s8	thresher		5	5000								sock		2	2	tinkerflag2		25	35	dmg%		190	240	hit-skill	Decrepify	33	1	ignore-ac		1	1	lifesteal		11	15	ease		-25	-25	deadly		33	33	dmg-cold		4	44														0
Spiritkeeper	327	100	1			0	1	75	53	qdd	earth spirit		5	5000								sock		2	2	tinkerflag2		25	35	ac%		170	190	balance2		20	20	abs-ltng		9	14	res-fire		30	40	abs-cold%		15	25	res-pois-max		10	10	dru		1	2														0
Hellrack	328	100	1			0	1	84	60	6hx	colossus crossbow		5	5000	cred							sock		3	3	tinkerflag2		25	35	dmg%		180	230	dmg-elem	33	63	324	swing2		20	20	att%		100	150	charged	Immolation Arrow	150	18																						0
Alma Negra	329	100	1			0	1	85	61	qpc	sacred rondache		5	5000	blac	blac						sock		2	2	tinkerflag2		25	35	ac%		180	210	block2		30	30	pal		1	2	block		20	20	red-mag		5	9	att%		40	75	dmg%		40	75														0
Darkforge Spawn	330	100	1			0	1	72	51	qnf	bloodlord skull		5	5000	cred	cred						sock		2	2	tinkerflag2		25	35	ac%		140	180	cast2		30	30	mana%		10	10	skilltab	6	1	3	skilltab	7	1	3	skilltab	8	1	3																		0
Widowmaker	331	100	1			0	1	73	52	6sw	ward bow		5	5000	dred	dred						sock		2	2	tinkerflag2		25	35	dmg%		150	200	deadly		33	33	ignore-ac		1	1	magicarrow		11	11	oskill	Guided Arrow	3	5																						0
Bloodraven's Charge	332	100	1			0	1	79	56	q80	matriarchal bow		5	5000	dgld	dgld						sock		2	2	tinkerflag2		25	35	dmg%		180	230	att%		200	300	explosivearrow		13	13	skilltab	0	2	4	charged	Revive	30	5																						0
Ghostflame	333	100	1			0	1	70	49	7bl	legend spike		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	dmg%		190	240	ignore-ac		1	1	dmg-mag		108	108	manasteal		10	15	ethereal		1	1	indestruct		1	1	light		2	2														0
Shadowkiller	334	100	1			0	1	85	62	q75	battle cestus		5	5000								sock		2	2	tinkerflag2		25	35	dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	Frost Nova	33	8	ethereal		1	1	indestruct		1	1														0
Gimmershred	335	100	1			0	1	78	56	7ta	flying axe		5	5000	lgrn							sock		2	2	tinkerflag2		25	35	dmg%		160	210	dmg-fire		218	483	dmg-cold	100	176	397	dmg-ltng		29	501	swing2		30	30	rep-quant	33																				0
Griffon's Eye	336	100	1			0	1	84	68	qi3	diadem		5	5000								sock		2	2	tinkerflag2		25	35	ac		100	200	cast2		25	25	allskills		1	1	extra-ltng		10	15	pierce-ltng		15	20																						0
Windhammer	337	100	1			0	1	76	54	7m7	ogre maul		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	dmg%		180	230	crush		50	50	swing2		60	60	hit-skill	Twister	33	22																										0
Thunderstroke	338	100	1			0	1	77	55	q82	matriarchal javelin		5	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	dmg%		150	200	dmg-ltng		1	511	hit-skill	Lightning	20	14	swing2		15	15	pierce-ltng		15	15	skill	Lightning Bolt	3	3	skilltab	2	2	4	rep-quant	33												0
Giantmaimer	339	100											5	5000	cred	cred																																																							0
Demon's Arch	340	100	1			0	1	76	54	7s7	balrog spear		5	5000	cred	cred						sock		2	2	tinkerflag2		25	35	dmg%		160	210	dmg-fire		232	323	lifesteal		6	12	rep-quant	33			swing2		30	30	dmg-ltng		23	333																		0
Boneflame	341	100	1			0	1	80	57	qne	succubae skull		3	5000	dred	dred						sock		2	2	tinkerflag2		25	35	ac%		120	150	move2		20	20	gethit-skill	Terror	15	3	nec		2	3	res-all		20	30																						0
Steelpillar	342	100	1			0	1	77	55	7p7	war pike		3	5000								sock		2	2	tinkerflag2		25	35	dmg%		210	260	swing2		25	25	reduce-ac		20	20	ac%		50	80	indestruct		1	1	crush		25	25																		0
Nightwing's Veil	343	100	1			0	1	75	53	uhm	spired helm		3	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	ac%		90	120	allskills		2	2	dex		10	20	abs-cold		5	9	half-freeze		1	1	extra-cold		8	15	ease		-50	-50														0
Crown of Ages	344	100	1			0	1	86	82	urn	corona		3	5000	dgld	dgld						sock		2	3	tinkerflag2		25	35	balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	indestruct		1	1	red-dmg%		10	15	ac%		50	50														0
Andariel's Visage	345	100	1			0	1	85	66	usk	demonhead		3	5000	dred	dred						sock		2	2	tinkerflag2		25	35	ac%		100	150	res-pois		70	70	allskills		2	2	res-pois-max		10	10	swing2		20	20	str		25	30	gethit-skill	Poison Nova	15	15	charged	278	20	3	lifesteal		8	10	res-fire		-30	-30		0
Darkfear	346	100								ulm	armet		5	5000	blac																																																								0
Dragonscale	347	100	1			0	1	84	64	qpe	zakarum shield		3	5000	dgrn	dgrn						sock		2	2	tinkerflag2		25	35	ac%		170	200	abs-fire%		10	20	res-fire-max		5	5	str		15	25	dmg-fire		211	371	oskill	Hydra	10	10	extra-fire		15	15														0
Steel Carapice	348	100	1			0	1	74	52	uul	shadow plate		3	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	ac%		190	220	balance2		20	20	red-dmg		9	14	res-cold		40	60	regen-mana		10	15	rep-dur	5			gethit-skill	Iron Maiden	8	6														0
Medusa's Gaze	349	100	1			0	1	84	60	uow	aegis		3	5000	lred	lred						sock		2	2	tinkerflag2		25	35	ac%		150	180	slow		20	20	gethit-skill	Lower Resist	10	7	lifesteal		5	9	death-skill	Nova	100	44	res-cold		40	80																		0
Ravenlore	350	100	1			0	1	82	59	qde	sky spirit		3	5000	dgld	dgld						sock		2	2	tinkerflag2		25	35	ac%		120	150	res-all		15	25	skilltab	17	3	3	enr		20	30	pierce-fire		10	20	skill	Raven	7	7																		0
Boneshade	351	100	1			0	1	84	63	7bw	lich wand		3	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	nec		2	2	cast2		25	25	skill	Teeth	4	5	skill	Bone Armor	4	5	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	skill	Bone Wall	2	3														0
Nethercrow	352	100				0	1						3	5000	cblu	cblu																																																							0
Flamebellow	353	100	1			0	1	79	56	7gs	balrog blade		3	5000	cred	cred						sock		2	2	tinkerflag2		25	35	dmg%		170	240	dmg-fire		233	482	fireskill		3	3	abs-fire%		20	30	hit-skill	Firestorm	12	16	str		10	20	vit		5	10	oskill	Inferno	12	18										0
Fathom	354	100	1			0	1	81	65	q85	dimensional shard		3	5000	lblu							sock		2	2	tinkerflag2		25	35	sor		3	3	extra-cold		15	30	cast2		20	20	res-fire		25	40	res-ltng		25	40																						0
Wolfhowl	355	100	1			0	1	85	63	qbc	fury visor		3	5000	cred	cred						sock		2	2	tinkerflag2		25	35	ac%		120	150	skilltab	14	2	3	str		8	15	dex		8	15	vit		8	15	oskill	Wearwolf	3	6	charged	Summon Fenris	18	15	oskill	Shape Shifting	3	6	oskill	Feral Rage	3	6						0
Spirit Ward	356	100	1			0	1	76	54	uts	ward		3	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	ac%		130	180	abs-cold		6	11	res-all		30	40	block		20	30	block2		25	25	gethit-skill	Fade	5	8																		0
Kira's Guardian	357	100	1			0	1	85	61	qi2	tiara		3	5000	blac	blac						sock		2	2	tinkerflag2		25	35	ac		50	120	res-all		50	70	nofreeze		1	1	balance2		20	20																										0
Ormus' Robes	358	100	1			0	1	83	60	uui	dusk shroud		3	5000	blac	blac						sock		2	2	tinkerflag2		25	35	ac		10	20	cast2		20	20	extra-fire		10	15	extra-cold		10	15	extra-ltng		10	15	regen-mana		10	15	skill-rand	3	36	60														0
Gheed's Fortune	359	100				0	1	70	62	cm3	charm	1	3	5000	lyel	lyel																																																							0
Stormlash	360	100	1			0	1	86	73	7fl	scourge		3	5000	dgry	dgry						sock		2	2	tinkerflag2		25	35	dmg%		240	300	swing2		30	30	hit-skill	Static Field	15	10	hit-skill	Tornado	20	18	dmg-ltng		1	473	light-thorns		30	30	crush		33	33	abs-ltng		3	9										0
Halaberd's Reign	361	100	1			0	1	85	61	qbe	conqueror crown		3	5000								sock		2	2	tinkerflag2		25	35	ac%		140	170	skilltab	13	1	1	bar		2	2	balance2		20	20	regen		15	23	skill	Battle Orders	1	2	skill	Battle Command	1	2														0
Warriv's Warder	362	100											3	5000																																																									0
Spike Thorn	363	100	1			0	1	78	56	upk	blade barrier		5	5000	dyel	dyel						sock		2	2	tinkerflag2		25	35	ac%		120	150	thorns/lvl	11			dur		250	250	balance2		30	30	red-dmg%		15	20																						0
Dracul's Grasp	364	100	1			0	1	84	60	uvg	vampirebone gloves		5	5000	dred	dred						sock		1	1	tinkerflag2		25	35	ac%		90	120	lifesteal		7	10	openwounds		25	25	hit-skill	Life Tap	5	10	heal-kill		5	10	str		10	15																		0
Frostwind	365	100	1			0	1	78	56	7ls	cryptic sword		5	5000	cblu	cblu						sock		2	2	tinkerflag2		25	35	dmg%		180	230	freeze		4	4	half-freeze		1	1	dmg-cold	150	237	486	swing2		25	25	abs-cold%		7	15	oskill	Arctic Blast	7	14														0
Templar's Might	366	100	1			0	1	82	59	uar	sacred armor		5	5000	cgrn	cgrn						sock		2	2	tinkerflag2		25	35	ac%		170	220	balance2		20	20	ac-miss		250	300	stam		40	50	str		10	15	vit		10	15	skilltab	10	1	2														0
Eschuta's temper	367	100	1			0	1	80	57	q84	eldritch orb		5	5000	cred							sock		2	2	tinkerflag2		25	35	sor		1	3	cast2		40	40	extra-fire		10	20	extra-ltng		10	20	enr		20	30																						0
Firelizard's Talons	368	100	1			0	1	75	53	q76	feral claws		5	5000								sock		2	2	tinkerflag2		25	35	dmg%		200	270	swing2		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Inferno Sentry	1	2														0
Sandstorm Trek	369	100	1			0	1	72	51	uvb	scarabshell boots		5	5000								sock		1	1	tinkerflag2		25	35	ac%		140	170	move2		20	20	balance2		20	20	stam/lvl	8			stamdrain		50	50	res-pois		40	70	rep-dur	5			str		10	15	vit		10	15						0
Marrowwalk	370	100	1			0	1	74	59	umb	boneweave boots		5	5000	dgry							sock		1	1	tinkerflag2		25	35	ac%		170	200	move2		20	20	charged	Bone Prison	13	33	charged	Life Tap	10	12	regen-stam		10	10	regen-mana		10	10	half-freeze		1	1	str		10	20	dex		17	17	skill	Skeleton Mastery	1	2		0
Heaven's Light	371	100	1			0	1	69	48	7sc	mighty scepter		5	5000	cblu	cblu						sock		2	3	tinkerflag2		25	35	dmg%		250	300	swing2		20	20	reduce-ac		33	33	light		3	3	heal-kill		15	20	crush		33	33	pal		2	3														0
Merman's Speed	372	100																																																																					0
Arachnid Mesh	373	100	1			0	1	87	64	ulc	spiderweb sash		5	5000	blac	blac						sock		1	1	tinkerflag2		25	35	ac%		90	120	cast2		20	20	charged	Venom	11	3	allskills		1	1	slow		10	10	mana%		5	5																		0
Nosferatu's Coil	374	100	1			0	1	68	40	uvc	vampirefang belt		5	5000								sock		1	1	tinkerflag2		25	35	str		15	15	mana-kill		2	2	slow		10	10	lifesteal		5	7	swing2		10	10	light		-3	-3																		0
Metalgrid	375	100	1			0	1	85	81	au9	amulet		5	5000								sock		1	1	allskills		1	1	ac		300	350	res-all		25	35	att		400	450	charged	IronGolem	11	22	charged	Iron Maiden	20	12																						0
Verdugo's Hearty Cord	376	100	1			0	1	71	50	umc	mithril coil		5	5000	blac	blac						sock		1	1	tinkerflag2		25	35	ac%		90	140	vit		30	40	stam		100	120	balance2		10	10	red-dmg%		10	15	regen		10	13																		0
Sigurd's Staunch	377	100											5	5000																																																									0
Carrion Wind	378	100	1			0	1	68	60	rn9	ring		3	5000								sock		1	1	allskills		1	1	ac-miss		100	160	lifesteal		6	9	res-pois		55	55	gethit-skill	Poison Nova	10	10	charged	Plague Poppy	15	21	hit-skill	Twister	8	13	dmg-to-mana		10	10														0
Giantskull	379	100	1			0	1	73	65	uh9	bone visage		3	5000	lgry	lgry						sock		2	3	tinkerflag2		25	35	ac		250	320	str		25	35	crush		10	10	knock		1	1																										0
Ironward	380	100	1			0	1	68	54	7ws	caduceus		3	5000	blac	blac						sock		2	2	tinkerflag2		25	35	dmg%		240	290	slow		25	25	att%		150	200	swing2		10	10	dmg-mag		80	240	red-dmg		4	7	dmg-norm		40	85	skilltab	9	2	4	crush		33	33						0
Annihilus	381	100				0	1	99	70	cm1	charm	1	3	5000			flpmss	invmss	item_gem	12	item_gem					allskills		1	1	all-stats		10	20	res-all		10	20	addxp		5	10	oskill	Unique Charm 7	1	1	vit-h		-900	-900																						0
Arioc's Needle	382	100	1			0	1	85	64	7sr	hyperion spear		3	5000								sock		2	2	tinkerflag2		25	35	dmg%		180	230	dmg-pois	250	403	403	deadly		50	50	ignore-ac		1	1	allskills		2	4	swing2		30	30																		0
Cranebeak	383	100	1			0	1	71	50	7mp	war spike		3	5000	dgry							sock		2	2	tinkerflag2		25	35	dmg%		240	300	dmg-ltng		1	305	swing2		40	40	reduce-ac		25	25	mag%		20	50	charged	Raven	15	8																		0
Nord's Tenderizer	384	100	1			0	1	76	54	7cl	truncheon		3	5000								sock		2	2	tinkerflag2		25	35	dmg%		270	330	freeze		2	4	swing2		25	25	charged	Blizzard	12	16	att%		150	180	abs-cold%		5	15	dmg-cold	125	205	455														0
Earthshifter	385	100	1			0	1	77	55	7gm	thunder maul		3	5000								sock		2	2	tinkerflag2		25	35	dmg%		250	300	hit-skill	Eruption	25	14	crush		33	33	swing2		10	10	charged	Volcano	30	14	skilltab	17	7	7	cast2		10	10														0
Wraithflight	386	100	1			0	1	84	60	7gl	ghost glaive		3	5000	dblu	dblu						sock		2	2	tinkerflag2		25	35	dmg%		150	190	rep-quant	33			lifesteal		9	13	mana-kill		15	15	ethereal		1	1																						0
Bonehew	387	100	1			0	1	72	51	7o7	ogre axe		3	5000	bwht	bwht						sock		3	3	tinkerflag2		25	35	dmg%		270	320	swing2		30	30	charged	Corpse Explosion	30	14	hit-skill	Bone Spear	50	16	noheal		1	1																						0
Ondal's Wisdom	388	100	1			0	1	74	52	6cs	elder staff		3	5000								sock		2	2	tinkerflag2		25	35	cast2		45	45	enr		40	50	allskills		2	4	ac		450	550	addxp		5	5	red-mag		5	8																		0
The Reedeemer	389	100	1			0	1	80	64	7sc	mighty scepter		3	5000								sock		2	2	tinkerflag2		25	35	dmg%		250	300	dmg-demon		200	250	pal		2	2	ease		-60	-60	skill	Redemption	2	4	skill	Holy Bolt	2	4	light		3	3	reduce-ac		33	33	dmg-norm		60	120						0
Headhunter's Glory	390	100	1			0	1	83	75	ush	troll nest		3	5000								sock		2	3	tinkerflag2		25	35	ac		320	420	ac-miss		300	350	res-pois		30	40	res-fire		20	30	heal-kill		5	7																						0
Steelrend	391	100	1			0	1	78	56	uhg	ogre gauntlets		3	5000								sock		1	1	tinkerflag2		25	35	ac		170	210	str		15	20	dmg%		30	60	crush		10	10																										0
Rainbow Facet	392	100				0	1	85	49	jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	death-skill	Chain Lightning	100	47																																		0
Rainbow Facet	393	100				0	1	85	49	jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	death-skill	ctcBlizzard	100	37																																		0
Rainbow Facet	394	100				0	1	85	49	jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	death-skill	ctcMeteor	100	31																																		0
Rainbow Facet	395	100				0	1	85	49	jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	death-skill	Poison Nova	100	51																																		0
Rainbow Facet	396	100				0	1	85	49	jew	jewel		3	5000								dmg-ltng		1	74	pierce-ltng		3	5	extra-ltng		3	5	levelup-skill	Nova	100	41																																		0
Rainbow Facet	397	100				0	1	85	49	jew	jewel		3	5000								dmg-cold	3	24	38	pierce-cold		3	5	extra-cold		3	5	levelup-skill	Frost Nova	100	43																																		0
Rainbow Facet	398	100				0	1	85	49	jew	jewel		3	5000								dmg-fire		17	45	pierce-fire		3	5	extra-fire		3	5	levelup-skill	Blaze	100	29																																		0
Rainbow Facet	399	100				0	1	85	49	jew	jewel		3	5000								dmg-pois	50	187	187	pierce-pois		3	5	extra-pois		3	5	levelup-skill	Venom	100	23																																		0
ES Uniques																																																																							0
char																																																																							0
The Perfect Cell	400	100	1			6	1	35	40	cm1	Small Charm	1	6	10000	cgrn	cgrn						regen		5	10	regen-mana		6	12	regen-stam		7	14	lifesteal		2	5	manasteal		2	5																														0
Yello Jello	401	100	1			6	1	35	40	cm2	Large Charm	1	6	10000	lyel	lyel						swing1		5	10	ltng-min		12	24	ltng-max		48	72	light-thorns		15	30	stam		15	45	res-all		5	10																										0
Lothar's Will	402	100	1			6	1	35	40	cm3	Grand Charm	1	6	10000	cblu	cblu						mana%		6	12	cast1		6	12	dmg-to-mana		6	12	allskills		1	1																																		0
Deviant Cell	403	100	1			1	1	35	40	cm4	Odd Charm	1	6	10000	oran	oran						str		10	15	dmg/lvl	2			mag%		30	30	ac		100	100	dex		10	15	allskills		2	2	regen		-15	-15																						0
Vlad Tepe's Sustenance	404	100	1			1	1	70	80	cm1	Small Charm	1	6	10000	blac	blac						lifesteal		5	10	manasteal		5	10	regen		8	12	regen-mana		8	12	mag%		15	30	res-all		10	15																										0
Something Wicked	405	100	1			1	1	70	80	cm2	Large Charm	1	6	10000	dblu	dblu						ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	pal		0	1	sor		0	1	res-all		10	15	mana/lvl	8																0
The Unknown Hero	406	100	1			1	1	70	80	cm3	Grand Charm	1	6	10000	dgrn	dgrn						allskills		1	1	thorns		100	150	red-mag		5	10	red-dmg		5	10	str		10	20	dex		10	20	swing1		10	20																						0
ring																																																																							0
Fallen Star	407	0	1			6	1	10	5	rin	Ring		7	15000	dblu	dblu		invrin1				mana		15	15	hp		15	15	mag%		20	20	red-mag		3	3	res-all		15	15	res-pois		-15	-15	light-thorns		15	25	rip		0	1																		0
Dragon Eye	408	0	1			5	1	20	10	rin	Ring		8	20000	lred	lred		invrin2				att-skill	Fire Ball	5	10	hit-skill	Lightning	5	10	gethit-skill	Frost Nova	5	10	regen		6	8	red-dmg		3	3	mana		20	20	extra-fire		5	15	extra-ltng		5	15	extra-cold		5	15														0
Ring of Vengeance	409	0	1			4	1	30	20	rin	Ring		9	25000	dgry	dgry		invrin3				att%		15	30	dmg%		15	15	hp/lvl	8			dmg/lvl	4			thorns		50	50	lifesteal		6	10	pierce		25	25																						0
Elemental Jewel	410	0	1			3	1	40	30	rin	Ring		10	30000	cred	cred		invrin4				res-all		30	40	res-all-max		5	7	gold%		50	50	dmg-fire		15	40	dmg-ltng		1	60	dmg-cold	100	10	35	allskills		1	1																						0
Zodiac Band	411	0	1			1	1	60	50	rin	Ring		12	40000	cgrn	cgrn		invrin5				allskills		2	2	all-stats		20	40	swing2		20	20	cast2		20	20	move2		20	20	mana-kill		8	12	noheal		1	1																						0
The One Ring	412	0	1			1	1	75	60	rin	Ring		12	40000				invrin7				allskills		2	2	regen		-10	-10	res-all		15	25	red-mag		4	6	red-dmg		4	6	mag%		30	30	hp%		15	15	mana%		15	15	fade		1	1														0
Lily Petal	413	0	1			8	1	45	45	zrn	Ring		12	40000	dgrn	dgrn						ama		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Legendary Arrow	3	3	swing1		15	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Forget-Me-Not Petal	414	0	1			8	1	45	45	srn	Ring		12	40000	lblu	lblu						sor		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Frozen Armor	3	3	cast1		15	20	charged	Oak Sage	5	5	heal-kill		5	10	gold%		20	40										0
Cactus Petal	415	0	1			8	1	45	45	nrn	Ring		12	40000	cgrn	cgrn						nec		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Skeleton Mastery	3	3	regen-mana		25	35	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
White Rose Petal	416	0	1			8	1	45	45	prn	Ring		12	40000	bwht	bwht						pal		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Fist of the Heavens	3	3	block		10	15	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Violet Petal	417	0	1			8	1	45	45	brg	Ring		12	40000	lpur	lpur						bar		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Shout	3	3	dmg-to-mana		20	30	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Dandelion Petal	418	100	1			8	1	45	45	drn	Ring		12	40000	oran	oran						dru		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Summon Grizzly	3	3	regen		10	15	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Red Rose Petal	419	100	1			8	1	45	45	arn	Ring		12	40000	dred	dred						ass		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Death Sentry	3	3	balance1		15	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Elven Blessing	420	0	1			3	1	60	60	zrn	Ring		12	40000	cgrn	cgrn						ama		2	2	res-all		15	20	mag%		20	30	dex		25	25	enr		25	25	att-skill	Chain Lightning	5	15	balance3		20	20	swing2		20	20	move2		20	20	att/lvl	6												0
Khelek's Crystal Band	421	0	1			3	1	60	60	srn	Ring		12	40000	bwht	bwht						sor		2	2	res-all		15	20	mag%		20	30	res-mag		15	20	dmg-to-mana		30	50	mana/lvl	16			cast2		20	25	skill	Energy Shield	3	3	skill	Telekinesis	8	8	skill	Static Field	8	8										0
Vorador's Essence	422	0	1			3	1	60	60	nrn	Ring		12	40000	dgrn	dgrn						nec		2	2	red-dmg		5	7	red-mag		5	7	skill	Golem Mastery	3	3	skill	Skeleton Mastery	3	3	skill	Summon Resist	3	3	move3		20	20	ac%		25	25	cast2		20	20	mana%		20	20										0
Rock of Aadeyen	423	0	1			3	1	60	60	prn	Ring		12	40000	cblu	cblu						pal		2	2	res-all		15	20	mag%		20	30	str		25	25	swing2		20	20	dex		25	25	regen		15	15	hp%		15	15	skill	Holy Shield	8	8	att/lvl	6												0
Madawc's Frenzy	424	0	1			3	1	60	60	brg	Ring		12	40000	oran	oran						bar		2	2	move3		20	20	mag%		20	30	str		30	30	red-dmg		5	7	red-mag		5	7	swing2		20	20	dmg/lvl	3			skill	Shout	8	8	lifesteal		7	9										0
Alakashar Rahl	425	100	1			3	1	60	60	drn	Ring		12	40000	cgrn	cgrn						dru		2	2	dmg/lvl	3			mag%		20	30	str		25	25	att/lvl	6			deadly		20	20	crush		20	20	vit		25	25	ac%		25	25	cast2		20	20										0
Lilith's Heart	426	100	1			3	1	60	60	arn	Ring		12	40000	cred	cred						ass		2	2	res-all		15	20	mag%		20	30	hp%		15	15	reduce-ac		15	15	hp/lvl	8			red-mag		5	7	charged	SSummon Grizzly	2	15	swing2		20	20	balance3		20	20										0
Dfuzzz's Fingerguard	427	0	1			1	1	75	75	zrn	Ring		12	40000	oran	oran						ama		2	2	skill-rand	3	6	35	dmg%		40	60	dex/lvl	4			res-all		20	25	mag%		30	35	kill-skill	ctcBlizzard	2	50	oskill	Quickness	5	8	move3		25	25	addxp		3	3	skill-rand	3	6	35						0
Killashandra Ree's Black C	428	0	1			1	1	75	75	srn	Ring		12	40000	blac	blac						sor		2	2	skill-rand	3	36	65	ac/lvl	40			enr/lvl	4			res-all		20	25	mag%		30	35	kill-skill	Nova	2	50	oskill	Lower Resist	5	8	cast3		25	25	addxp		3	3	skill-rand	3	36	65						0
