skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	item proc text	item proc descline count	*eol
clay golem	3	2	2	3	18		skillname75	skillsd75	skillld75	skillan75																	1	StrSkill3				74	Cgslow	StrSkill23	ast1		5	StrSkill208		40+pst2		34					5	StrSkill21		100+pst3		13	StrSkill42		clc1		5	StrSkill242		pets		18	StrSkill240														40	Sksyn	skillname75	2		18	skillname79				18	skillname89				76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7		5	StrSkill242		pets				0
iron maiden	1	3	1	1	20		skillname76	skillsd76	skillld76	skillan76																	36	StrSkill20		len	25	7	StrSkill55		clc1																						1	StrSkill3				19	StrSkill18		par1		74	StrSkill151	StrSkill23	ast1							40	Sksyn	skillname76	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname87	par8/25		76	Secplev2	skillname82	par8/25		76	Damplev	skillname66	par7		76	Damplev	skillname87	par7		76	Damplev	skillname82	par7		1							0
terror	1	1	3	1	22		skillname77	skillsd77	skillld77	skillan77																	36	StrSkill20		len	25																										1	StrSkill3				19	StrSkill18		rng												40	Sksyn	skillname77	2		76	Secplev2	skillname81	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																	1							0
bone wall	2	2	3	2	24		skillname78	skillsd78	skillld78	skillan78																	13	StrSkill42		clc1																											1	StrSkill3				12	StrSkill20		par2												40	Sksyn	skillname78	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname88	par8		76	Hpplev	skillname93	par8		76	Hpplev	skillname67	par8												1							0
golem mastery	3	3	1	3	26		skillname79	skillsd79	skillld79	skillan79																	74	StrSkill89	StrSkill23	dm34		4	StrSkill10		ln56		74	StrSkill42	StrSkill23	lvl*par1		4	StrSkill4		par7																																																																										0
raise skeletal mage	3	6	3	3	28		skillname80	skillsd80	skillld80	skillan80																	1	StrSkill3				36	StrSkill43a	StrSkill44a	pets		5	StrSkill208		5+ast2		34					5	StrSkill21		25+ast3		13	StrSkill42		clc1	pst1/256	5	StrSkill202		skill('Skeleton Mastery'.lvl)+lvl-1																	40	Sksyn	skillname80	2		18	skillname69				18	skillname89				76	Hpplev	StrSkill251	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill251	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill251	skill('Skeleton Mastery'.par2)		76	AttRateplev	StrSkill251	skill('Skeleton Mastery'.par6)		5	StrSkill202		skill('Skeleton Mastery'.lvl)+lvl-1				0
confuse	1	2	3	1	30		skillname81	skillsd81	skillld81	skillan81																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3																			40	Sksyn	skillname81	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname86	par8/25		76	Secplev2	skillname87	par8/25																	1							0
life tap	1	5	1	1	32		skillname82	skillsd82	skillld82	skillan82																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3				3	StrSkill50	StrSkill79	clc1												40	Sksyn	skillname82	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname76	par8/25		76	Secplev2	skillname87	par8/25		76	Stplev	StrEach	par7		76	Stplev	skillname85	par7							1							0
poison explosion	2	2	2	2	34		skillname83	skillsd83	skillld83	skillan83	5																19	StrSkill18		rng		75	StrSkill8		pnma*edln/16	pxma*edln/16	9																				1	StrSkill3																			40	Sksyn	skillname83	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname92	par8		76	Damplev	skillname73	par8		76	Damplev	skillname92	par8												1							0
bone spear	2	3	1	2	36		skillname84	skillsd84	skillld84	skillan84	5																1	StrSkill3				11					10					9					74	StrSkill10	StrSkill23	toht																											40	Sksyn	skillname84	2		76	Colddplev	skillname78	par8		76	Colddplev	skillname88	par8		76	Colddplev	skillname93	par8		76	Colddplev	skillname67	par8		76	Colddplev	Skillname374	par8														0
bloodgolem	3	3	2	3	38		skillname85	skillsd85	skillld85	skillan85																	1	StrSkill3				3	StrSkill80	StrSkill81	dm12		5	StrSkill208		60+pst2		34					5	StrSkill21		120+pst3		13	StrSkill42		clc1		5	StrSkill242		pets		18	StrSkill241														40	Sksyn	skillname85	2		18	skillname79				18	skillname89				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7		5	StrSkill242		pets				0
attract	1	3	3	1	40		skillname86	skillsd86	skillxld86	skillan86																	36	StrSkill20		len	25																										1	StrSkill3				19	StrSkill18		rng												40	Sksyn	skillname86	2		76	Secplev2	skillname77	par8/25		76	Secplev2	skillname81	par8/25		76	Secplev2		par8/25																	1							0
decrepify	1	4	2	1	42		skillname87	skillsd87	skillld87	skillan87																	36	StrSkill20		len	25	19	StrSkill18		rng																						1	StrSkill3				74	StrSkill151	StrSkill23	ast4		74	StrSkill4D	StrSkill23	ast3		3	Cgslow	StrSkill23	-ast1		40	Sksyn	skillname87	2		76	Secplev2	skillname66	par8/25		76	Secplev2	skillname72	par8/25		76	Secplev2		par8/25																	1							0
bone prison	2	4	3	2	44		skillname88	skillsd88	skillld88	skillan88																	1	StrSkill3				13	StrSkill42		clc1																						12	StrSkill20		par2																	40	Sksyn	skillname88	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname78	par8		76	Hpplev	skillname93	par8		76	Hpplev	skillname67	par8												12	StrSkill20		par2				0
summon resist	3	5	1	3	46		skillname89	skillsd89	skillld89	skillan89																	74	StrSkill54	StrSkill23	pst1																																																																																									0
irongolem	3	4	2	3	48		skillname90	skillsd90	skillld90	skillan90																	1	StrSkill3				7	StrSkill55		ast1		5	StrSkill208		80+pst2		34					5	StrSkill21		140+pst3		13	StrSkill42		clc1																						40	Sksyn	skillname90	2		18	skillname79				18	skillname89				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		76	Damplev	StrSkill250	par7									0
lower resist	1	6	2	1	50		skillname91	skillsd91	skillld91	skillan91																	36	StrSkill20		len	25	19	StrSkill18		rng		74	StrSkill191	StrSkill23	ast4		74	StrSkill180	StrSkill23	ast1												1	StrSkill3																			40	Sksyn	skillname91	2		76	Secplev2	skillname72	par8/25		76	Secplev2	skillname71	par8/25		76	Secplev2	skillname87	par8/25		76	ResFCLplev	skillname89	-par7		76	Respmplev	Skillname372	-3							1							0
poison nova	2	6	2	2	52		skillname92	skillsd92	skillld92	skillan92	5																1	StrSkill3				9					75	StrSkill8		pnma*edln/16	pxma*edln/16																																				40	Sksyn	skillname92	2		76	Poisdplev	skillname73	par8		76	Poisdplev	skillname83	par8		76	Poisdplev	Skillname374	par8		76	Damplev	skillname73	par8		76	Damplev	skillname83	par8		76	Damplev	Skillname374	par8									0
bone spirit	2	5	1	2	54		skillname93	skillsd93	skillld93	skillan93	5																1	StrSkill3				10																																													40	Sksyn	skillname93	2		76	Magdplev	skillname78	par8		76	Magdplev	skillname84	par8		76	Magdplev	skillname88	par8		76	Magdplev	skillname67	par8		76	Magdplev	Skillname374	par8														0
firegolem	3	5	2	3	56		skillname94	skillsd94	skillld94	skillan94																	1	StrSkill3				35	StrSkill244		sklvl('GHoly Fire'.ln56.edmn)	sklvl('GHoly Fire'.ln56.edmx)	74	StrSkill40	StrSkill243	ast2		35	StrSkill32		edmn	edmx	34					5	StrSkill21		160+pst3		5	StrSkill208		100+pst2		13	StrSkill42		clc1												40	Sksyn	skillname94	2		18	StrSkill239				76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Firedplev	Skillname375	par3		76	Damplev	StrSkill250	par7		5	StrSkill208		100+pst2				0
revive	3	1	3	3	58		skillname95	skillsd95	skillld95	skillan95																	1	StrSkill3				5	StrSkill97		pets	 																					2	StrSkill4	StrSkill23	ast1		74	StrSkill42	StrSkill23	clc1		12	StrSkill20		clc2							40	Sksyn	skillname95	2		18	skillname69				18	skillname89				76	Hpplev	skillname70	par7		76	Hpplev	skillname80	par7		76	Damplev	skillname70	par8		76	Damplev	skillname80	par8		2	StrSkill4	StrSkill23	ast1				0
sacrifice	1	1	1	1	0		skillname96	skillsd96	skillld96	skillan96	7	clc1											1				1	StrSkill3				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																	18	StrSkill273				18	StrSkill274				74	WeapDamsk		125							40	Sksyn	skillname96	2		76	Damplev	skillname106	par7		76	Damplev	skillname111	par7		76	Damplev	skillname116	par7		76	Damplev	skillname124	par8												18	StrSkill273						0
smite	1	1	3	1	2		skillname97	skillsd97	skillld97	skillan97	10																12	StrSkill48		clc2		10					74	StrSkill4D	StrSkill23	clc1																	1	StrSkill3																			40	Sksyn	skillname97	2		25	skillname117	SmtStunplev			76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname119	par8												1							0
might	2	4	1	2	4	11	skillname98	skillsd98	skillld98	skillan98																	74	StrSkill4D	StrSkill23	ast1		19	StrSkill18		rng																																										40	Sksyn	skillname98	2		76	Damplev	skillname108	par8		76	Damplev	skillname103	par8		76	Damplev	skillname112	par8		76	Damplev	skillname115	par8																			0
prayer	3	1	1	3	6	6	skillname99	skillsd99	skillld99	skillan99																	1	StrSkill3				4	StrSkill50		ast1/256		19	StrSkill18		rng																	1	StrSkill3																			40	Sksyn	skillname99	2		76	Healplev2	skillname101	par8		76	Healplev2	skillname121	par8		76	Healplev2	skillname124	par8																	1							0
resist fire	3	1	3	3	8		skillname100	skillsd100	skillld100	skillan100																	74	StrSkill181	StrSkill23	ast3		74	StrSkill188	StrSkill23	ast1		74	StrSkill253	StrSkill23	ast4		19	StrSkill18		rng												3	StrSkill175	StrSkill174	pst1		74	StrSkill175	StrSkill23	ast2												40	Sksyn	skillname100	2		76	Fabsplev	skillname125	par8																											3	StrSkill175	StrSkill174	pst1				0
holy bolt	1	2	2	1	10		skillname101	skillsd101	skillld101	skillan101	5																1					47	StrSkill50		clc1	clc2	10																				7	StrSkill205		clc1		18	StrSkill291														40	Sksyn	skillname101	2		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		76	Magdplev	skillname119	par8		76	Healplev	skillname99	par7		76	Healplev	skillname121	par7							7	StrSkill205		clc1				0
holy fire	2	3	3	2	12		skillname102	skillsd102	skillxld102	skillan102	5																10					38	StrSkill5	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		rng																																					40	Sksyn	skillname102	2		76	Firedplev	skillname100	par8*2		76	Firedplev	skillname125	par8		76	Firedplev	skillname111	par8																								0
thorns	2	2	1	2	14	9	skillname103	skillsd103	skillld103	skillan103																	74	StrSkill178	StrSkill23	ast2		7	StrSkill55		ast1		19	StrSkill18		rng																	18	ModStr4a																			40	Sksyn	skillname103	2		76	Damplev	skillname115	par8		76	Damplev	skillname123	par8		76	Damplev	skillname116	par8		76	OWplev	skillname115	par7		76	OWplev	skillname123	par7		76	OWplev	skillname116	par7		18	ModStr4a						0
defiance	3	2	2	3	16	7	skillname104	skillsd104	skillld104	skillan104																	74	StrSkill31	StrSkill23	ast1		19	StrSkill18		rng																																										40	Sksyn	skillname104	2		76	Defplev	skillname100	par8		76	Defplev	skillname105	par8		76	Defplev	skillname110	par8		76	Defplev	skillname117	par7																			0
resist cold	3	2	3	3	18		skillname105	skillsd105	skillld105	skillan105																	74	StrSkill181	StrSkill23	ast3		74	StrSkill189	StrSkill23	ast1		74	StrSkill254	StrSkill23	ast4		19	StrSkill18		rng												18	ModStr5z				3	StrSkill176	StrSkill174	pst1		74	StrSkill176	StrSkill23	ast2							40	Sksyn	skillname105	2		76	Cabsplev	skillname125	par8																											18	ModStr5z						0
zeal	1	3	1	1	20		skillname106	skillsd106	skillld106	skillan106	7	clc2											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc2																						1	StrSkill3				7	StrSkill11		clc1												40	Sksyn	skillname106	2		76	Damplev	skillname96	par8		76	Damplev	skillname111	par8		76	Damplev	skillname116	par8																	1							0
charge	1	3	3	1	22		skillname107	skillsd107	skillld107	skillan107	7	clc1											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3				74	WeapDamsk		125												40	Sksyn	skillname107	2		76	Damplev	skillname108	par8		76	Damplev	skillname98	par8		76	Damplev	skillname115	par8																	1							0
blessed aim	2	1	2	2	24	8	skillname108	skillsd108	skillld108	skillan108																	74	StrSkill106	StrSkill23	ast3		74	StrSkill154	StrSkill23	ast1		19	StrSkill18		rng																	18	ModStr4a																			40	Sksyn	skillname108	2		76	CBplev	skillname98	par8																											18	ModStr4a						0
cleansing	3	3	1	3	38		skillname109	skillsd109	skillld109	skillan109																	74	StrSkill184	StrSkill23	ast3		74	StrSkill183	StrSkill23	ast1		19	StrSkill18		rng																	4	StrSkill50		ast2/256		76	Healplev2	skillname99	ast2/256												40	Sksyn	skillname109	2		18	skillname99																													4	StrSkill50		ast2/256				0
resist lightning	3	3	3	3	28		skillname110	skillsd110	skillld110	skillan110																	74	StrSkill181	StrSkill23	ast3		74	StrSkill190	StrSkill23	ast1		74	StrSkill255	StrSkill23	ast4		19	StrSkill18		rng												3	StrSkill177	StrSkill174	pst1		74	StrSkill177	StrSkill23	ast2												40	Sksyn	skillname110	2		76	Labsplev	skillname125	par8																											3	StrSkill177	StrSkill174	pst1				0
vengeance	1	4	1	1	40		skillname111	skillsd111	skillld111	skillan111	11												1				74	StrSkill10	StrSkill23	toht		74	StrSkill7	StrSkill23	clc3		11					74	StrSkill6	StrSkill23	clc2		74	StrSkill5	StrSkill23	clc1							1	StrSkill3				74	WeapDamsk		125												40	Sksyn	skillname111	2		76	Firedplev	skillname100	par8		76	Colddplev	skillname105	par8		76	Ltngdplev	skillname110	par8		76	ElemDampLevAll	skillname125	par7		76	ElemDampLevEach	StrHolyFFS	par7							1							0
blessed hammer	1	4	2	1	32		skillname112	skillsd112	skillld112	skillan112	12																1	StrSkill3				48																																													40	Sksyn	skillname112	2		76	Magdplev	skillname108	par8		76	Magdplev	skillname119	par8		76	Magdplev	skillname121	par8																								0
concentration	2	4	2	2	34		skillname113	skillsd113	skillld113	skillan113																	74	StrSkill4D	StrSkill23	ast1		19	StrSkill18		rng																						3	StrSkill76	StrSkill23	par5																	40	Sksyn	skillname113	2		76	Damplev	skillname108	par8		76	Damplev	skillname107	par8		76	Damplev	skillname98	par8																	3	StrSkill76	StrSkill23	par5				0
holy freeze	2	4	3	2	36	10	skillname114	skillsd114	skillxld114	skillan114	5																74	StrSkill77	StrSkill23	-ast1		10					38	StrSkill6	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		rng																																40	Sksyn	skillname114	2		76	Colddplev	skillname105	par8*2		76	Colddplev	skillname111	par8		76	Colddplev	skillname125	par8																								0
vigor	3	4	2	3	26		skillname115	skillsd115	skillld115	skillan115																	74	StrSkill69	StrSkill23	ast1		74	StrSkill71	StrSkill23	ast2		74	StrSkill89	StrSkill23	ast3		74	StrSkill100	StrSkill23	ast4		19	StrSkill18		rng																											40	Sksyn	skillname115	2		76	Hpplev	skillname99	1		76	Hpplev	skillname109	1																													0
conversion	1	5	1	1	30		skillname116	skillsd116	skillld116	skillan116	5																74	StrSkill99	StrSkill23	dm56		9																									1	StrSkill3				16	StrSkill20		par3	par3+par4	19	StrSkill56		rng		18	StrSkill268				40	Sksyn	skillname116	2		76	Damplev	skillname119	par8		76	Damplev	skillname109	par8		76	Damplev	skillname121	par8																	1							0
holy shield	1	4	3	1	42		skillname117	skillsd117	skillld117	skillan117																	36	StrSkill20		len	25	74	StrSkill110	StrSkill23	ast1		74	StrSkillRD	StrSkill23	ast3		74	StrSkill31	StrSkill23	clc1		49	ItemStats1o									18	StrSkill282				18	StrSkill283				1										40	Sksyn	skillname117	2		76	Defplev	skillname104	par8																											18	StrSkill282						0
holy shock	2	5	3	2	44		skillname118	skillsd118	skillxld118	skillan118	5																10					38	StrSkill7	strEskilllighttoattack	1	edxs*par5/256	19	StrSkill18		rng																																					40	Sksyn	skillname118	2		76	Ltngdplev	skillname110	par8*2		76	Ltngdplev	skillname111	par8		76	Ltngdplev	skillname125	par8																								0
sanctuary	2	1	1	2	46		skillname119	skillsd119	skillld119	skillan119	5																10					32	StrSkill171	StrSkill172	pst2		32	StrSkill171	StrSkill173	pst1							19	StrSkill18		rng							1	StrSkill3																			40	Sksyn	skillname119	2		76	DamDUplev	skillname98	par7		76	DamDUplev	skillname122	par7		76	Magdplev	skillname109	par8		76	Magdplev	skillname101	par8		76	Magdplev	skillname112	par8		76	Magdplev	skillname121	par8		1							0
meditation	3	5	1	3	48		skillname120	skillsd120	skillld120	skillan120																	74	StrSkill187	StrSkill23	ast3		74	StrSkill88	StrSkill23	ast1		19	StrSkill18		rng																	4	StrSkill50		ast2/256		76	Healplev2	skillname99	ast2/256												40	Sksyn	skillname120	2		18	skillname99				76	Regplev	skillname124	par7																						4	StrSkill50		ast2/256				0
fist of the heavens	1	6	2	1	50		skillname121	skillsd121	skillld121	skillan121	5													fistoftheheavensbolt			10					47	StrSkill165		clc1	clc2	50	StrSkill91				5	StrSkill170		clc4												1	StrSkill3																			40	Sksyn	skillname121	2		76	Hbdplev	skillname101	par8		76	Hbdplev	skillname112	par8		76	Hbdplev	skillname119	par8		76	Ltngdplev	skillname101	par8		76	Ltngdplev	skillname112	par8		76	Ltngdplev	skillname118	par8		1							0
fanaticism	2	6	1	2	52		skillname122	skillxsd122	skillxld122	skillan122																	74	StrSkill10	StrSkill23	toht		74	StrSkill106	StrSkill23	ast1		74	FanYDam	StrSkill23	pst1							74	PartDam	StrSkill23	ast3		19	StrSkill18		rng																						40	Sksyn	skillname122	2		76	Damplev	skillname98	par8		76	Damplev	skillname113	par8																													0
conviction	2	6	3	2	56		skillname123	skillxsd123	skillld123	skillan123																	74	StrSkill180	StrSkill23	ast2		74	StrSkill21	StrSkill23	ast1																						19	StrSkill18		rng																																																				19	StrSkill18		rng				0
redemption	3	6	2	3	54		skillname124	skillsd124	skillxld124	skillan124																	3	StrSkill185	StrSkill108	clc2		3	StrSkill186	StrSkill108	clc3		74	StrSkill109	StrSkill23	clc1																	19	StrSkill18		rng																	40	Sksyn	skillname124	2		76	Lifrplev	skillname99	par8		76	Manrplev	skillname120	par7																						19	StrSkill18		rng				0
salvation	3	6	3	3	58		skillname125	skillsd125	skillld125	skillan125																	74	StrSkill54l	StrSkill23	ast3		74	StrSkill54c	StrSkill23	ast2		74	StrSkill54f	StrSkill23	ast1		19	StrSkill18		rng																																40	Sksyn	skillname125	2		76	Resfplev	skillname100	par8		76	Rescplev	skillname105	par8		76	Reslplev	skillname110	par8																								0
bash	1	4	3	1	0	22	skillname126	skillsd126	skillld126	skillan126	7	clc1	clc2										1				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3				74	WeapDamsk		125												40	Sksyn	skillname126	2		76	Damplev	skillname139	par8		76	Damplev	skillname144	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7												1							0
sword mastery	2	1	1	2	2		skillname127	skillsd127	skillld127	skillan127													1				51	eskillincasemasteryX		macr		74	StrSkill10	StrSkill23	math		74	StrSkill4D	StrSkill23	madm																																																																															0
axe mastery	2	1	3	2	4		skillname128	skillsd128	skillld128	skillan128	5												1				1	StrSkill3				75	StrSkill7		edmn	edmx	9					74	StrSkill10	StrSkill23	toht																																40	Sksyn	skillname128	2		76	Ltngdplev	skillname129	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	skillname134	par8		76	Ltngdplev	Skillname386	par8		76	Ltngdplev	skillname126	par8														0
mace mastery	2	3	3	2	6		skillname129	skillsd129	skillld129	skillan129	5													thunder wave maker			1	StrSkill3				75	StrSkill7		edmn	edmx																																									40	Sksyn	skillname129	2		76	Ltngdplev	skillname127	par8		76	Ltngdplev	skillname128	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	skillname134	par8		76	Ltngdplev	Skillname386	par8														0
howl	3	1	2	3	8		skillname130	skillsd130	skillld130	skillan130																	12	StrSkill59		ln56		74	Ffleeplev	StrSkill23	clc1		36	StrSkill58		ln34*2	3																1	StrSkill3																																																						1							0
find potion	3	4	3	3	32		skillname131	skillsd131	skillld131	skillan131																	74	StrSkill24		clc1																											1	StrSkill3																																																						1							0
leap	3	1	3	3	12		skillname132	skillsd132	skillld132	skillan132																	36	StrSkillkb		clc1*2	3																										1	StrSkill3																																																						1							0
double swing	1	1	1	1	14		skillname133	skillsd133	skillld133	skillan133	19	clc1											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3				74	StrSkill106	StrSkill23	par5												40	Sksyn	skillname133	2		76	Damplev	skillname147	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7												1							0
pole arm mastery	2	5	3	2	16		skillname134	skillsd134	skillld134	skillan134	5													angeldustcenter			1	StrSkill3				75	StrSkill7		edmn	edmx																					74	StrSkill20		4																	40	Sksyn	skillname134	2		76	Ltngdplev	skillname127	par8		76	Ltngdplev	skillname128	par8		76	Ltngdplev	skillname129	par8		76	Ltngdplev	Skillname385	par8		76	Ltngdplev	Skillname386	par8							23	StrSkill20						0
throwing mastery	2	1	2	2	18		skillname135	skillsd135	skillld135	skillan135													1				51	eskillincasemasteryX		macr		74	StrSkill10	StrSkill23	math		74	StrSkill4D	StrSkill23	madm																																																																															0
spear mastery	3	5	3	3	20		skillname136	skillsd136	skillld136	skillan136																	1	StrSkill3				5	StrSkill193		clc4		5	StrSkill192		clc3		5	StrSkill209		pst2		74	StrSkill31	StrSkill23	pst1		74	StrSkill42		clc1		18	StrSkill229				5	StrSkill156		min(ln56-par6,99)		18	StrSkill157				5	ESkillDecoy		pets		40	Sksyn	skillname136	2		76	Pasvplev	skillname145	par8		76	Pasvplev	skillname153	par8																						18	StrSkill229						0
taunt	3	1	1	3	22	28	skillname137	skillsd137	skillld137	skillan137																						74	StrSkill38	StrSkill23	ast2																						1	StrSkill3				74	StrSkill57	StrSkill23	ast1																																															1							0
shout	3	2	2	3	24		skillname138	skillsd138	skillld138	skillan138																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkill21	StrSkill23	ast1																																					40	Sksyn	skillname138	2		76	Defplev	skillname130	par7		76	Defplev	skillname154	par7		76	Secplev2	skillname149	par8/25		76	Secplev2	skillname155	par8/25																			0
stun	1	1	3	1	26	23	skillname139	skillsd139	skillld139	skillan139	7	clc1											1				36	StrSkill20		edln	25	74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																	1	StrSkill3				74	WeapDamsk		125												40	Sksyn	skillname139	2		76	Damplev	skillname144	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7												1							0
double throw	1	2	1	1	28		skillname140	skillsd140	skillld140	skillan140	13												2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3																			40	Sksyn	skillname140	2		76	Damplev	skillname133	par8		76	Damplev	Skillname383	par8		76	Damplev	skillname147	par8		76	AttRateplev	skillname144	par6												1							0
increased stamina	2	2	2	2	60		skillname141	skillsd141	skillld141	skillan141																	6	ModStr1a2		pst1																																																																																									0
find item	2	3	1	2	10		skillname142	skillsd142	skillld142	skillan142																	74	ModStr1w		pst2		74	ModStr1x		pst1																																																																																				0
leap attack	3	3	3	3	34		skillname143	skillsd143	skillld143	skillan143	7	clc1											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3				74	WeapDamsk		125												40	Sksyn	skillname143	2		76	Damplev	skillname132	par8		76	Damplev	skillname139	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7							1							0
concentrate	1	2	3	1	36		skillname144	skillsd144	skillld144	skillan144	7	clc1											1				1	StrSkill3				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																	74	StrSkill21	StrSkill23	ast1		74	StrSkill39	StrSkill23	clc4		74	WeapDamsk		125							40	Sksyn	skillname144	2		76	Damplev	skillname139	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	skillname152	StrSkill234	1												2	StrSkill21	StrSkill23	ast1				0
iron skin	2	4	2	2	38	27	skillname145	skillsd145	skillld145	skillan145																	1	StrSkill3				5	StrSkillRD		pst2		74	StrSkill21	StrSkill23	pst1																	18	StrSkill284																			40	Sksyn	skillname145	2		76	Defplev	skillname133	par8		76	Defplev	skillname140	par8		76	Defplev	skillname147	par8																	18	StrSkill284						0
battle cry	3	4	1	3	40	24	skillname146	skillsd146	skillld146	skillan146																	36	StrSkill20		len	25	74	StrSkill4D	StrSkill23	ast2		74	StrSkill21	StrSkill23	ast1																	1	StrSkill3																			40	Sksyn	skillname146	2		76	Defplev	skillname137	-par4		76	Defplev	skillname154	-par4		76	Damplev	skillname137	-par6		76	Damplev	skillname154	-par6		76	Secplev2	skillname149	par8/25		76	Secplev2	skillname155	par8/25		1							0
frenzy	1	4	1	1	42	26	skillname147	skillsd147	skillld147	skillan147	19	clc1											2				74	StrSkill89	StrSkill23	15*(par4-par3)/100+par3	ast1	74	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	ast2	74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1												1	StrSkill3				36	StrSkill20		len	25	74	StrSkill195	StrSkill23	clc4							40	Sksyn	skillname147	2		76	Damplev	skillname133	par8		76	Damplev	skillname126	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	5		76	skillname152	StrSkill196	1							1							0
increased speed	2	3	2	2	30		skillname148	skillsd148	skillld148	skillan148																	74	StrSkill89	StrSkill23	pst1		6	ModStr1c2		pst2																																																																																				0
